Scrip,Sector,Segment,Market Cap (Cr),LCP,Return %,Sharpe Return,Volar,Retracement %,RSI
360ONE,Finance - Stock Broking,Midcap 150 Index,45770.00,1130.80,7.92%,-0.48%,-9.96%,11.23%,-0.70%
ABCAPITAL,Finance - Housing - NBFC,Midcap 150 Index,93031.00,356.10,115.67%,2.67%,65.60%,3.57%,3.41%
ABSLAMC,Finance - Investment - Management,SmallCap 250,26598.00,921.40,27.61%,0.72%,5.86%,1.41%,1.29%
ADANIENSOL,Power,Nifty Next 50 Index,122272.00,1017.85,38.45%,2.26%,9.55%,4.67%,-1.96%
